avg_temperature,avg_humidity,cold_chain,handling_type,storage_type,decay_factor
21.236203565420873,45.70234102415436,1,manual,covered,0.8814569465186869
38.52142919229749,44.81872794431999,1,manual,cold,0.6221785621155377
31.959818254342153,84.3752748312622,1,automated,cold,0.5768499778722457
27.959754525911098,44.972771990970365,0,manual,covered,0.6306036821113336
14.680559213273096,46.316983567717855,0,manual,cold,0.75
14.67983561008608,75.56389574507782,0,automated,open,0.5743610425492218
11.742508365045984,56.984390547032405,0,manual,cold,0.75
35.98528437324806,76.60263341731087,1,manual,open,0.3741944002281705
28.033450352296263,33.92196945386311,1,automated,cold,0.879498244715556
31.242177333881365,59.25427162040306,0,automated,open,0.5613673399917796
10.617534828874074,32.016816010996955,0,semi,open,0.73
39.097295564859834,33.75919220732127,0,manual,covered,0.4635405665271025
34.97327922401266,84.38624720066466,1,semi,open,0.41153833963316355
16.370173320348286,38.354722267055706,0,semi,covered,0.85
15.454749016213018,61.94524093651303,1,automated,cold,0.9805475906348697
15.502135295603015,54.66573615604239,0,manual,cold,0.75
19.127267288786133,50.84059957553056,1,manual,cold,0.9
25.742692948967136,83.99000074123634,1,automated,open,0.5539595983531295
22.958350559263472,31.30940380652937,0,semi,cold,0.8056247416110479
18.736874205941255,69.82738117053535,0,automated,cold,0.7517261882946465
28.355586841671386,87.80366605281303,1,manual,covered,0.4966295368467989
14.184815819561255,63.610091007710515,0,automated,covered,0.8138990899228948
18.764339456056547,86.20934772198551,1,manual,cold,0.6379065227801449
20.99085529881075,33.13547275716142,1,semi,cold,0.9851371705178388
23.682099526511077,55.12759914444968,1,manual,open,0.7247685071023339
33.55527884179041,45.60946745772307,1,semi,open,0.6766708173731438
15.990213464750791,73.84925789884379,0,semi,cold,0.7115074210115621
25.42703315240835,88.8778254298348,0,manual,covered,0.37981624841552675
27.772437065861276,45.39180374665487,1,manual,cold,0.7834134440120809
11.393512381599932,69.25047608844446,0,semi,open,0.6374952391155554
28.22634555704315,41.88585796558441,1,automated,covered,0.8766048166443527
15.115723710618745,63.919815274296596,0,manual,covered,0.710801847257034
11.951547789558386,57.83594920130017,0,semi,open,0.73
38.466566117599996,88.32031977789222,1,semi,cold,0.43979831045707785
38.96896099223678,66.51163636178799,0,automated,cold,0.5003492214985684
34.25192044349383,50.97038232520913,1,manual,cold,0.6862211933475926
19.13841307520112,36.845747093276,1,semi,open,0.88
12.930163420191516,39.07480972409607,1,automated,covered,1.0
30.526990795364707,43.519015797074104,1,semi,open,0.7220951380695294
23.20457481218804,45.05799968041788,1,manual,cold,0.8519313778171794
13.661147045343364,81.03696347046827,1,automated,open,0.6696303652953174
24.855307303338105,63.6733672969515,0,semi,covered,0.7404367174804134
11.031655633456552,61.403454682461984,1,automated,open,0.8659654531753802
37.27961206236346,36.88613231215305,1,manual,cold,0.6408058190645481
17.763399448000506,81.6083816009661,1,automated,covered,0.783916183990339
29.87566853061946,73.36885819250902,1,manual,open,0.4981763901156179
19.35133228268233,34.0601017140001,0,semi,open,0.73
25.602040635334326,72.47010583378612,1,manual,covered,0.6912683321321239
26.40130838029839,62.61229304055876,1,semi,covered,0.8778574438899365
15.545633665765811,34.9035207448067,0,semi,cold,0.85
39.08753883293676,57.498038491719385,1,manual,covered,0.6136869175059486
33.253984700833435,59.08177722780282,1,semi,cold,0.8011902294874985
38.18496824692568,39.94647240979654,1,automated,open,0.6072254762961148
36.844820512829465,86.74188882001694,1,semi,cold,0.4799088041073886
27.936999364332554,80.99852228883972,1,manual,open,0.4509597866466145
37.6562270506935,70.1413402397465,0,automated,covered,0.48374319184213244
12.654775061557585,57.73773366003643,1,automated,open,0.88
15.879485872574357,54.70593249507051,0,semi,covered,0.85
11.356818667316142,69.05840802905725,1,semi,open,0.7894159197094275
19.759909922897933,62.725912164414325,1,manual,open,0.7527408783558568
21.660318690684463,33.73638635291314,0,automated,open,0.7050952196397331
18.140470953216877,60.7501589262199,0,manual,open,0.622498410737801
34.86212527455788,78.38421703397037,1,semi,cold,0.5932259505419281
20.70259980080768,57.55439265581748,0,automated,open,0.7194610029878848
18.428035290621423,33.117394653256106,1,manual,cold,0.9
26.280882494747456,77.17669196304199,0,manual,covered,0.4840198429483683
14.22772674924288,42.08182692815846,0,manual,covered,0.75
34.06590942262119,45.51725009328233,1,manual,cold,0.6890113586606822
12.236519310393124,39.882381205937754,1,manual,covered,0.9
39.60660809801552,49.81290389228985,1,automated,covered,0.7059008785297671
33.16734307889972,75.4050903413181,0,manual,open,0.3
15.961470446025173,61.16315157023624,1,automated,open,0.8683684842976376
10.165663513708072,42.29287644904275,1,manual,open,0.78
34.463842853645026,82.66980468912246,1,semi,cold,0.5563443103041001
31.205720315428515,82.77491129709175,1,semi,cold,0.6041650822976548
31.87021504122962,82.23470550276042,1,manual,covered,0.49959971935395153
33.13811040057837,44.32777268289236,1,semi,open,0.6829283439913244
12.22133955202271,57.07436065085929,0,automated,cold,0.85
20.753971856328178,89.0993793684525,1,manual,cold,0.5976966284705523
13.476071785753891,76.32074857859942,0,automated,open,0.5667925142140058
35.89310277626781,31.63004527353359,1,manual,cold,0.6616034583559829
28.698943804826737,33.91227547562952,0,semi,open,0.599515842927599
19.926940745579476,57.835882608739965,1,automated,covered,1.0
11.906750508580709,84.55321235169362,1,semi,covered,0.7544678764830638
19.329469651469864,62.32210787716285,0,semi,covered,0.8267789212283715
19.75549966080241,59.868750482057415,0,manual,open,0.63
31.88818535014192,36.32842199739783,0,automated,cold,0.6716772197478712
29.126724140656393,69.40680628345764,1,semi,covered,0.7690310750555778
36.616382277289794,79.32618963601354,1,manual,covered,0.45749236948051775
24.16644775485848,52.825200450453735,0,manual,covered,0.6875032836771228
13.58782737814905,76.53671105551965,1,manual,cold,0.7346328894448035
31.39734361668985,87.8685992340487,0,semi,cold,0.4003538534091652
32.82355145850693,42.22598754766135,1,manual,open,0.5876467281223962
26.83831592708489,61.39977787168448,1,automated,covered,0.8834274823768818
33.12901539863683,47.22827748507453,0,automated,cold,0.6530647690204475
24.81386789093172,77.57126514203037,1,semi,open,0.6320793302157205
25.681984881459822,64.65560195286946,0,automated,covered,0.7182142072494081
22.826230550756488,68.07494505301823,0,manual,cold,0.6268570912084704
10.762573802322855,77.87484957695364,0,semi,cold,0.6712515042304636
13.236742809799134,53.75822835974729,0,manual,open,0.63
10.942875570602027,84.90540410442259,1,semi,covered,0.7509459589557741
29.092312337913413,61.9817320347684,1,semi,covered,0.8437979945836148
19.4306794322898,39.47728937012088,1,manual,cold,0.9
25.257120734941083,71.75394709012815,0,automated,covered,0.6536037180746023
37.22699421778279,77.59568102629527,0,automated,open,0.3
17.47876687446625,49.0057006240516,1,semi,cold,1.0
22.31148769106889,81.43075541992518,1,manual,cold,0.651020130434715
32.66653415629146,84.36859528594599,0,manual,open,0.3
16.863944964748676,46.614269242668534,1,semi,cold,1.0
12.309397294863789,89.01128836291332,1,automated,covered,0.7098871163708669
18.69254358741304,38.442691682925506,1,manual,covered,0.9
14.836638617620132,42.1209401041494,1,automated,cold,1.0
37.890929570277194,41.053490354281564,0,automated,open,0.46163605644584216
34.24361138693251,83.63938260047223,0,semi,open,0.3
29.002112695312704,69.2575531394977,1,semi,covered,0.7723927781753325
36.143817705631534,39.12625699333637,0,automated,open,0.48784273441552695
34.110162306973436,56.41940510210094,1,manual,cold,0.6883475653953984
15.597101766581076,66.91788150418813,1,manual,cold,0.8308211849581187
36.77676995469933,35.007845099362996,0,semi,covered,0.5983484506795099
26.18026725746952,82.94498210444033,1,automated,covered,0.677846170093554
34.22320465492187,78.21621212649211,0,manual,covered,0.3544898089112509
36.8827389977048,60.31240641459829,1,manual,open,0.5236348508884452
19.540104249155917,88.02759691555022,1,semi,cold,0.7197240308444979
13.301557735830302,55.06565875650598,1,automated,cold,1.0
16.83805487625825,89.04661914218987,1,manual,cold,0.6095338085781014
22.813233658787688,70.07519992821761,1,semi,covered,0.8570494958360085
34.54044297767479,68.0802763952365,1,manual,cold,0.6010905913825132
